No,지역,지역,매입자연령대,2019년 1월,2019년 1월,2019년 2월,2019년 2월,2019년 3월,2019년 3월,2019년 4월,2019년 4월,2019년 5월,2019년 5월,2019년 6월,2019년 6월,2019년 7월,2019년 7월,2019년 8월,2019년 8월,2019년 9월,2019년 9월,2019년 10월,2019년 10월,2019년 11월,2019년 11월,2019년 12월,2019년 12월,2020년 1월,2020년 1월,2020년 2월,2020년 2월,2020년 3월,2020년 3월,2020년 4월,2020년 4월,2020년 5월,2020년 5월,2020년 6월,2020년 6월,2020년 7월,2020년 7월,2020년 8월,2020년 8월,2020년 9월,2020년 9월,2020년 10월,2020년 10월,2020년 11월,2020년 11월,2020년 12월,2020년 12월,2021년 1월,2021년 1월,2021년 2월,2021년 2월,2021년 3월,2021년 3월,2021년 4월,2021년 4월,2021년 5월,2021년 5월,2021년 6월,2021년 6월,2021년 7월,2021년 7월,2021년 8월,2021년 8월,2021년 9월,2021년 9월,2021년 10월,2021년 10월,2021년 11월,2021년 11월,2021년 12월,2021년 12월,2022년 1월,2022년 1월,2022년 2월,2022년 2월,2022년 3월,2022년 3월,2022년 4월,2022년 4월,2022년 5월,2022년 5월,2022년 6월,2022년 6월,2022년 7월,2022년 7월,2022년 8월,2022년 8월,2022년 9월,2022년 9월,2022년 10월,2022년 10월,2022년 11월,2022년 11월,2022년 12월,2022년 12월,2023년 1월,2023년 1월,2023년 2월,2023년 2월,2023년 3월,2023년 3월,2023년 4월,2023년 4월,2023년 5월,2023년 5월,2023년 6월,2023년 6월,2023년 7월,2023년 7월,2023년 8월,2023년 8월,2023년 9월,2023년 9월,2023년 10월,2023년 10월,2023년 11월,2023년 11월,2023년 12월,2023년 12월,2024년 1월,2024년 1월,2024년 2월,2024년 2월,2024년 3월,2024년 3월,2024년 4월,2024년 4월,2024년 5월,2024년 5월,2024년 6월,2024년 6월,2024년 7월,2024년 7월,2024년 8월,2024년 8월,2024년 9월,2024년 9월,2024년 10월,2024년 10월,2024년 11월,2024년 11월,2024년 12월,2024년 12월,2025년 1월,2025년 1월
19,대구,달서구,30대,148,12,126,10,105,8,130,10,146,11,148,12,170,13,167,13,163,13,187,14,237,19,260,22,264,22,253,19,164,13,132,11,139,11,271,21,389,31,218,17,270,22,289,23,387,31,298,22,71,5,86,6,81,6,71,5,100,7,72,5,62,5,73,5,74,6,74,6,56,4,42,3,41,3,54,4,76,5,49,4,61,5,42,3,61,4,61,5,42,3,52,4,44,3,59,5,62,5,121,10,136,11,114,9,137,11,160,13,148,12,128,10,152,12,150,12,122,9,102,8,113,9,131,11,157,12,158,13,126,10,144,12,135,11,171,14,148,12,159,13,131,10,114,9,108,8
20,대구,달서구,40대,175,15,112,9,129,10,199,16,156,13,145,12,167,15,196,16,190,16,274,24,267,25,317,27,358,30,323,28,186,16,161,13,218,18,338,29,468,41,270,23,331,30,380,33,451,38,329,26,84,6,74,5,76,6,95,7,82,6,58,4,70,5,61,5,54,4,59,5,58,5,38,3,40,3,51,4,49,4,49,4,47,4,48,4,42,3,57,5,59,5,49,4,47,4,54,5,45,4,93,8,134,11,115,10,121,10,130,12,122,11,122,10,155,13,132,11,105,9,96,8,102,8,108,10,135,11,117,10,133,12,111,9,124,10,131,11,117,10,121,10,101,9,104,9,85,7
21,대구,달서구,50대,117,9,110,9,143,11,163,13,160,13,169,14,162,13,175,14,144,13,192,15,247,20,268,21,267,23,275,21,172,14,145,12,204,16,302,25,411,33,215,17,247,20,252,21,333,27,331,25,73,5,69,5,85,6,89,6,87,6,72,5,60,4,74,5,76,5,67,5,47,3,47,4,34,2,38,3,49,3,38,3,58,4,32,2,40,3,50,4,59,4,48,4,36,3,50,4,35,3,72,6,108,8,87,7,103,8,134,10,103,9,106,8,130,10,122,10,88,7,83,6,97,7,106,9,123,10,154,12,94,8,115,9,124,10,127,11,106,8,132,11,103,8,99,8,71,6
22,대구,달서구,60대,69,6,72,5,64,5,74,5,91,7,77,6,90,7,94,7,94,7,97,7,108,8,154,11,137,11,147,11,105,8,88,7,109,8,177,14,245,19,138,11,147,10,155,12,234,18,200,14,56,4,43,3,51,4,45,3,43,3,53,3,43,3,38,3,37,3,57,4,44,3,28,2,22,2,18,1,31,2,31,2,37,3,20,1,27,2,32,2,22,2,25,2,24,2,21,2,26,2,73,5,67,5,70,5,66,5,66,5,78,6,74,5,87,6,72,6,61,4,46,3,62,4,64,5,86,6,102,8,69,5,63,5,87,7,68,5,59,4,89,6,64,5,67,5,52,4
23,대구,달서구,70대이상,30,2,30,2,36,2,36,3,46,3,51,4,43,3,51,4,46,3,44,3,58,4,60,4,71,5,65,5,38,3,41,3,61,4,65,5,128,9,79,6,72,5,85,6,103,7,75,5,23,1,37,2,20,1,41,3,33,2,26,2,29,2,22,1,9,1,32,2,31,2,20,1,11,1,20,1,16,1,16,1,19,1,12,1,11,1,17,1,14,1,12,1,12,1,9,1,17,1,18,1,17,1,25,2,27,2,25,2,21,2,24,2,25,2,27,2,19,1,15,1,25,2,23,2,34,2,32,2,22,2,24,2,17,1,16,1,13,1,36,2,20,1,15,1,18,1
24,대구,달서구,기타,16,1,5,0,9,1,16,1,14,1,15,1,24,1,6,0,4,0,17,1,17,1,32,2,22,1,23,2,19,1,25,2,193,12,37,2,41,2,11,1,25,2,23,1,32,2,50,1,16,1,2,0,6,1,22,1,22,2,50,2,68,5,8,1,101,7,11,1,139,9,3,0,1,0,2,0,4,0,0,0,1,0,4,0,0,0,28,2,1,0,3,0,2,0,33,2,5,0,3,0,4,0,1,0,3,0,3,0,3,0,3,0,1,0,1,0,2,0,1,0,3,0,1,0,2,0,0,0,1,0,2,0,6,1,0,0,1,0,1,0,2,0,1,0,0,0
25,광주,남구,합계,232,17,190,14,174,14,171,13,188,14,223,17,232,18,238,19,255,20,289,23,290,23,324,26,308,24,380,31,299,23,232,18,224,17,345,27,462,37,266,22,288,23,429,34,847,70,796,66,260,21,224,18,443,33,303,24,329,26,263,21,312,25,312,25,403,32,372,29,254,19,253,19,181,13,290,17,340,23,251,18,280,21,195,14,140,9,89,7,86,7,103,8,94,7,71,6,71,6,128,10,139,11,155,13,167,13,165,13,163,13,147,12,141,11,147,12,167,13,103,8,109,8,135,11,198,15,167,13,179,15,180,15,164,13,165,13,152,13,213,17,189,15,168,14,169,13
26,광주,남구,20대이하,10,1,3,0,12,1,5,0,9,1,4,0,9,1,4,0,10,1,12,1,22,1,13,1,15,1,10,1,10,1,12,1,12,1,11,1,22,1,11,1,9,1,9,0,54,4,37,3,14,1,6,0,22,2,17,1,22,2,15,1,20,1,16,1,21,1,26,2,14,1,21,2,13,1,7,0,6,0,11,1,26,2,5,0,10,1,4,0,5,0,7,0,9,1,4,0,2,0,6,0,7,1,9,1,7,1,2,0,7,0,9,1,8,1,8,0,11,1,3,0,4,0,7,0,5,0,8,1,6,0,10,1,2,0,5,0,4,0,8,1,10,1,10,1,8,1
27,광주,남구,30대,38,3,54,4,31,2,26,2,33,3,35,3,44,3,60,5,49,4,56,5,52,4,65,5,69,6,87,7,65,5,59,5,36,3,73,6,88,7,61,5,62,5,108,9,202,17,192,16,56,5,52,4,90,7,66,5,68,5,55,4,60,5,78,6,110,9,114,9,58,5,54,4,38,3,37,3,77,5,67,5,56,4,41,3,30,2,23,2,19,1,19,2,14,1,19,2,19,1,35,3,34,3,49,4,46,4,42,4,42,4,40,3,30,2,38,3,40,3,29,2,20,2,28,2,58,5,49,4,44,4,50,4,47,4,41,3,29,3,47,4,53,4,33,3,35,3
28,광주,남구,40대,75,6,58,5,52,4,51,4,49,4,57,4,67,6,71,6,67,5,85,7,94,8,88,8,89,8,120,10,94,7,60,5,74,6,95,8,158,14,78,7,81,7,137,11,266,23,288,26,82,7,62,5,109,9,77,7,99,8,86,7,96,8,104,9,111,9,106,9,92,7,79,6,59,4,71,5,111,8,66,5,95,8,50,4,41,3,28,2,26,2,24,2,34,3,20,2,21,2,37,3,46,4,48,4,46,4,47,4,63,6,47,4,49,4,49,4,49,4,28,2,37,3,43,4,45,4,56,5,43,4,51,5,49,4,49,4,61,6,67,6,50,5,64,5,46,4
