,도로명,시작위도,시작경도,중간위도,중간경도,끝위도,끝경도,총점수
5968,동일로4길(15),37.5347553,127.0648407,37.5353403,127.0643111,37.5357022,127.0640267,0.3848975124395021
5969,천호대로(38),37.5567837,127.0807064,37.5572285,127.0795353,37.5572285,127.0795353,0.38463888877900776
5970,뚝섬로21길(5),37.5373181,127.0622268,37.5370539,127.0621037,37.53696,127.06206,0.38423878448983184
5971,동일로(16),37.560971,127.0747064,37.5617809,127.0751332,37.5618715,127.0751879,0.3841679217541479
5972,용마산로(15),37.56443,127.08677,37.5635008,127.086939,37.5635008,127.086939,0.38358455723933227
5973,용마산로(35),37.5678699,127.0861846,37.5680056,127.0861588,37.5680056,127.0861588,0.3835683821784621
5974,용마산로(26),37.5635008,127.086939,37.56443,127.08677,37.56443,127.08677,0.38299554766442856
5975,뚝섬로(106),37.53224,127.0788928,37.53225,127.07886,37.5323765,127.0784288,0.3828132369819711
5976,뚝섬로(59),37.5323765,127.0784288,37.53225,127.07886,37.53224,127.0788928,0.3828132369819711
5977,능동로3길(20),37.5349015,127.0616772,37.5347174,127.0624014,37.5347174,127.0624014,0.3827582069211849
5978,아차산로(53)길,37.5394855,127.0857215,37.5394423,127.0849077,37.5394423,127.0849077,0.3824138924236877
5979,아차산로(106),37.5411964,127.095933,37.5412286,127.0960532,37.5413042,127.0963663,0.382321208965646
5980,능동로(11),37.5344485,127.0681917,37.5352596,127.068566,37.5352596,127.068566,0.38219497479175085
5981,뚝섬로(44),37.5364945,127.0638074,37.5366373,127.063311,37.5366373,127.063311,0.381270393868615
5982,광나루로(20),37.5470224,127.0748591,37.5468598,127.0752317,37.5466844,127.0755679,0.3804531697757495
5983,천호대로(13),37.5487985,127.0932106,37.5486434,127.0936404,37.5486434,127.0936404,0.3801230145765718
5984,광나루로(26),37.5454617,127.0791879,37.545382,127.0795759,37.5453562,127.0800741,0.37976402391274666
5985,능동로3길(17),37.5347174,127.0624014,37.5349015,127.0616772,37.5349015,127.0616772,0.37909785807477064
5986,아차산로(100),37.5366985,127.0842027,37.5367083,127.0840233,37.5367083,127.0840233,0.3788934828171702
5987,아차산로(99),37.5366985,127.0842027,37.5366632,127.083985,37.5366632,127.083985,0.3785607238311326
5988,용마산로(12),37.56267,127.08709,37.5635008,127.086939,37.5635008,127.086939,0.3784532332088706
5989,아차산로(8),37.5461477,127.105331,37.5467434,127.1058268,37.5467434,127.1058268,0.37841405837002756
5990,아차산로(89),37.5384347,127.0755179,37.5380336,127.0771393,37.5380336,127.0771393,0.37835539681900376
5991,아차산로(115),37.5367083,127.0840233,37.5366911,127.0837679,37.5366801,127.0836348,0.37806158535207607
