0,1,2,3,4,5,6,7,8,9,10,11,12
자양로,37.5485615,127.0891638,4시간 56분,6시간 11분,37.5490791,127.089777,4시간 24분,4시간 24분,37.5495481,127.0902943,1시간 56분,4시간 24분
자양로,37.5485615,127.0891638,4시간 56분,6시간 11분,37.5479661,127.0885214,1시간 58분,3시간 23분,37.547563,127.0880614,3시간 1분,3시간 45분
자양로41길,37.5495481,127.0902943,1시간 56분,4시간 24분,37.5496178,127.0901911,3시간 55분,5시간 12분,37.5500668,127.0895613,1시간 28분,2시간 22분
자양로42길,37.5495481,127.0902943,1시간 56분,4시간 24분,37.5494713,127.0903786,1시간 23분,2시간 36분,37.5491494,127.0908483,1시간 9분,2시간 14분
자양로,37.5495481,127.0902943,1시간 56분,4시간 24분,37.5488881,127.0895664,2시간 44분,4시간 56분,37.5485615,127.0891638,4시간 56분,6시간 11분
자양로,37.5495481,127.0902943,1시간 56분,4시간 24분,37.5499081,127.0906948,4시간 40분,5시간 34분,37.5500176,127.0908197,3시간 55분,6시간 32분
자양로,37.5500176,127.0908197,3시간 55분,6시간 32분,37.550186,127.0909511,3시간 41분,7시간 14분,37.550186,127.0909511,3시간 41분,7시간 14분
천호대로,37.5500176,127.0908197,3시간 55분,6시간 32분,37.5496131,127.0913505,3시간 3분,4시간 50분,37.5492881,127.0919276,2시간 23분,3시간 56분
자양로,37.5500176,127.0908197,3시간 55분,6시간 32분,37.5499081,127.0906948,4시간 40분,5시간 34분,37.5495481,127.0902943,1시간 56분,4시간 24분
천호대로132길,37.5506271,127.0902166,6시간 28분,7시간 36분,37.5505657,127.0901448,5시간 15분,6시간 12분,37.5500668,127.0895613,1시간 28분,2시간 22분
천호대로,37.5506271,127.0902166,6시간 28분,7시간 36분,37.5502518,127.0905246,4시간 29분,7시간 4분,37.5500176,127.0908197,3시간 55분,6시간 32분
천호대로,37.5533477,127.0887981,4시간 36분,5시간 28분,37.553393,127.0887556,4시간 23분,5시간 23분,37.553393,127.0887556,4시간 23분,5시간 23분
천호대로127길,37.5533477,127.0887981,4시간 36분,5시간 28분,37.5534137,127.0889358,4시간 53분,5시간 35분,37.5536919,127.0898116,1시간 5분,1시간 5분
천호대로122길,37.5536011,127.0882185,6시간 36분,6시간 36분,37.55348,127.0881393,1시간 59분,3시간 51분,37.553069,127.0878705,1시간 42분,3시간 11분
천호대로,37.5536011,127.0882185,6시간 36분,6시간 36분,37.5535416,127.088319,5시간 39분,6시간 40분,37.5534728,127.0884141,2시간 54분,5시간 21분
천호대로,37.5556426,127.0830546,2시간 10분,3시간 3분,37.5551387,127.0843509,0시간 57분,0시간 57분,37.5551387,127.0843509,0시간 57분,0시간 57분
천호대로114길,37.5556426,127.0830546,2시간 10분,3시간 3분,37.5555633,127.0830062,1시간 42분,1시간 42분,37.5550773,127.0827101,1시간 57분,1시간 57분
천호대로,37.557395,127.0786804,4시간 1분,5시간 19분,37.5570888,127.0794562,3시간 30분,4시간 5분,37.5570888,127.0794562,3시간 30분,4시간 5분
군자로,37.557395,127.0786804,4시간 1분,5시간 19분,37.5573055,127.07862,1시간 30분,1시간 30분,37.5568273,127.0782204,1시간 25분,1시간 25분
면목로,37.5580747,127.0769544,1시간 33분,2시간 2분,37.5582076,127.0770318,2시간 10분,4시간 1분,37.5582076,127.0770318,2시간 10분,4시간 1분
천호대로,37.5580747,127.0769544,1시간 33분,2시간 2분,37.5580132,127.0771187,1시간 9분,2시간 8분,37.557395,127.0786804,4시간 1분,5시간 19분
면목로,37.5580747,127.0769544,1시간 33분,2시간 2분,37.5579482,127.0768805,2시간 1분,2시간 1분,37.5576172,127.076699,2시간 3분,2시간 3분
동일로,37.563293,127.0760044,4시간 28분,4시간 28분,37.5637286,127.076252,6시간 8분,6시간 8분,37.5637286,127.076252,6시간 8분,6시간 8분
동일로,37.563293,127.0760044,4시간 28분,4시간 28분,37.5632661,127.0760945,3시간 7분,3시간 7분,37.5630542,127.076684,1시간 32분,1시간 32분
동일로,37.5673628,127.0782525,4시간 43분,4시간 43분,37.5679131,127.0785682,4시간 5분,4시간 52분,37.5679131,127.0785682,4시간 5분,4시간 52분
동일로74길,37.5673628,127.0782525,4시간 43분,4시간 43분,37.567316,127.0783846,2시간 26분,2시간 30분,37.5671028,127.0789829,1시간 32분,1시간 32분
동일로,37.5673628,127.0782525,4시간 43분,4시간 43분,37.5661328,127.0774882,6시간 28분,6시간 28분,37.5642375,127.0763978,6시간 31분,6시간 31분
아차산로,37.5493016,127.1079949,3시간 5분,3시간 5분,37.54828,127.10728,5시간 46분,5시간 46분,37.5482083,127.1072098,6시간 15분,6시간 15분
아차산로,37.5493016,127.1079949,3시간 5분,3시간 5분,37.5493578,127.1081292,2시간 23분,2시간 23분,37.5503666,127.1087805,3시간 23분,5시간 40분
아차산로,37.5461477,127.105331,7시간 53분,7시간 53분,37.5467434,127.1058268,5시간 50분,5시간 59분,37.5467434,127.1058268,5시간 50분,5시간 59분
아차산로,37.5461477,127.105331,7시간 53분,7시간 53분,37.5457441,127.1049887,8시간 3분,8시간 3분,37.5457441,127.1049887,8시간 3분,8시간 3분
