도로명,시작점 위도,시작점 경도,중간점_위도,중간점_경도,끝점_위도,끝점_경도
아차산로70길,37.54214,127.10174,37.5417661,127.1021792,37.5417661,127.1021792
아차산로70길,37.54214,127.10174,37.5423,127.10164,37.5423,127.10164
아차산로70길,37.54214,127.10174,37.54017,127.0994,37.5393668,127.0984694
아차산로70길,37.5423,127.10164,37.54214,127.10174,37.54214,127.10174
아차산로70길,37.5423,127.10164,37.5427871,127.1013904,37.5429604,127.1012901
아차산로36길,37.5387157,127.0743583,37.538861,127.074405,37.538861,127.074405
아차산로36길,37.5387157,127.0743583,37.5378234,127.0741049,37.5370209,127.0738614
아차산로,37.5387157,127.0743583,37.5386637,127.0745752,37.5385384,127.0750969
아차산로,37.5371192,127.0807492,37.5370041,127.0812097,37.5370041,127.0812097
아차산로44길,37.5371192,127.0807492,37.5369109,127.0806713,37.5366539,127.0801941
아차산로,37.5370234,127.0854908,37.5369022,127.0850093,37.5369022,127.0850093
아차산로,37.5374595,127.0872237,37.5373068,127.0866171,37.5373068,127.0866171
아차산로,37.5374595,127.0872237,37.5373803,127.0870797,37.5373803,127.0870797
아차산로,37.5374595,127.0872237,37.5375189,127.0872084,37.5376761,127.0871678
아차산로,37.5384,127.09109,37.5383623,127.0909301,37.5383623,127.0909301
광나루로44길,37.5384,127.09109,37.5384939,127.0910555,37.539193,127.0907986
아차산로,37.5384,127.09109,37.5385,127.09139,37.53861,127.09158
아차산로,37.53861,127.09158,37.538847,127.0919729,37.538847,127.0919729
아차산로60길,37.53861,127.09158,37.5385335,127.091651,37.5380717,127.0920799
아차산로,37.53861,127.09158,37.5385,127.09139,37.5384,127.09109
아차산로,37.53934,127.09279,37.539527,127.0930989,37.5395727,127.0931743
아차산로,37.53934,127.09279,37.5390967,127.0923838,37.538847,127.0919729
,37.53934,127.09279,37.5394112,127.0927233,37.5397956,127.0923631
아차산로,37.54039,127.09457,37.5408815,127.0953825,37.5408815,127.0953825
아차산로,37.54039,127.09457,37.5403492,127.0945026,37.5403492,127.0945026
아차산로65길,37.54039,127.09457,37.540461,127.0945064,37.5408647,127.0941444
,37.5411322,127.0957988,37.5411964,127.095933,37.5411964,127.095933
아차산로,37.5411322,127.0957988,37.5410565,127.0956705,37.5408815,127.0953825
광나루로,37.5411322,127.0957988,37.5409355,127.0960167,37.5408544,127.0961257
구의로,37.5379465,127.0891318,37.537839,127.089116,37.537839,127.089116
구의로,37.5379465,127.0891318,37.5380116,127.0891427,37.5388146,127.0892775
아차산로,37.5379465,127.0891318,37.5375922,127.0877457,37.5375382,127.0875346
구의로4길,37.54012,127.0896,37.5399717,127.0905943,37.5399717,127.0905943
자양로26길,37.54012,127.0896,37.5403697,127.0888939,37.5403697,127.0888939
구의로,37.54012,127.0896,37.54152,127.08992,37.54152,127.08992
구의로,37.54012,127.0896,37.5399534,127.0895584,37.5399534,127.0895584
,37.54663,127.10675,37.5467978,127.1063785,37.5467978,127.1063785
구천면로,37.54663,127.10675,37.5467178,127.1061451,37.5467434,127.1058268
구천면로,37.54663,127.10675,37.5465305,127.1074619,37.5465021,127.1076601
군자로,37.5545005,127.0754516,37.5551337,127.0766019,37.5551337,127.0766019
군자로,37.5545005,127.0754516,37.5543308,127.0751233,37.5543308,127.0751233
군자로,37.5545005,127.0754516,37.5541276,127.0757796,37.5541276,127.0757796
군자로,37.5551337,127.0766019,37.5551647,127.0766473,37.5551647,127.0766473
군자로,37.5551337,127.0766019,37.5545005,127.0754516,37.5545005,127.0754516
능동로27길,37.5551337,127.0766019,37.5550649,127.0766132,37.5547954,127.0766314
군자로,37.5558904,127.0774511,37.5568273,127.0782204,37.5568273,127.0782204
능동로31길,37.5558904,127.0774511,37.5557026,127.0779098,37.5557026,127.0779098
능동로31길,37.5558904,127.0774511,37.5560665,127.077013,37.5560665,127.077013
군자로,37.5558904,127.0774511,37.5555362,127.0771029,37.5552417,127.0767446
군자로,37.5568273,127.0782204,37.5558904,127.0774511,37.5558904,127.0774511
능동로35길,37.5568273,127.0782204,37.5567059,127.0785337,37.5567059,127.0785337
능동로35길,37.5568273,127.0782204,37.5570836,127.0775605,37.5570836,127.0775605
군자로,37.5568273,127.0782204,37.5573055,127.07862,37.557395,127.0786804
능동로,37.5435909,127.0722839,37.5432041,127.0721084,37.5432041,127.0721084
,37.5448913,127.0730313,37.5449259,127.0729103,37.5449259,127.0729103
능동로16길,37.5448913,127.0730313,37.5448718,127.0731053,37.5449416,127.0740067
능동로,37.5448913,127.0730313,37.5456783,127.0733963,37.5458531,127.0734765
능동로,37.551961,127.0766914,37.5517901,127.0766069,37.5517901,127.0766069
능동로24길,37.551961,127.0766914,37.5519351,127.0767855,37.5519351,127.0767855
능동로32길,37.5554868,127.0784828,37.5554482,127.078579,37.5554482,127.078579
능동로31길,37.5554868,127.0784828,37.5555227,127.0783967,37.5557026,127.0779098
능동로,37.5554868,127.0784828,37.5549608,127.0782156,37.5543607,127.0778798
천호대로,37.5570888,127.0794562,37.5566093,127.0806118,37.5566093,127.0806118
능동로,37.5570888,127.0794562,37.5572285,127.0795353,37.5572285,127.0795353
능동로,37.5570888,127.0794562,37.5569301,127.0793004,37.5565026,127.0790563
뚝섬로,37.5324164,127.0853111,37.5324785,127.0854452,37.5324785,127.0854452
자양로,37.5324164,127.0853111,37.5322867,127.0854035,37.5318742,127.0856974
뚝섬로,37.5324164,127.0853111,37.5323342,127.0851255,37.53197,127.08432
뚝섬로59길,37.53197,127.08432,37.5329344,127.0838836,37.5329344,127.0838836
뚝섬로,37.53197,127.08432,37.531834,127.0839859,37.531834,127.0839859
뚝섬로,37.53197,127.08432,37.5323342,127.0851255,37.5324164,127.0853111
뚝섬로,37.53148,127.08173,37.53151,127.08145,37.53151,127.08145
뚝섬로,37.53148,127.08173,37.5320244,127.0818181,37.5320244,127.0818181
뚝섬로,37.53148,127.08173,37.5314591,127.0823872,37.5314565,127.082504
뚝섬로,37.53151,127.08145,37.5316148,127.0810144,37.5316148,127.0810144
뚝섬로,37.53151,127.08145,37.53148,127.08173,37.53148,127.08173
뚝섬로,37.53151,127.08145,37.5320664,127.0816087,37.5320664,127.0816087
뚝섬로,37.5319949,127.079697,37.53224,127.0788928,37.53224,127.0788928
자양로13길,37.5319949,127.079697,37.5323305,127.0798663,37.5323305,127.0798663
뚝섬로,37.5319949,127.079697,37.5318,127.08032,37.5316148,127.0810144
뚝섬로52길,37.5319949,127.079697,37.531916,127.0796575,37.5315827,127.0794906
뚝섬로,37.53277,127.07714,37.5329396,127.0765639,37.5329396,127.0765639
뚝섬로,37.53277,127.07714,37.5327141,127.0773208,37.5327141,127.0773208
뚝섬로46길,37.53277,127.07714,37.5322044,127.0768883,37.5322044,127.0768883
뚝섬로45길,37.53277,127.07714,37.5333023,127.0773916,37.5333023,127.0773916
뚝섬로36길,37.5343731,127.0716568,37.5336507,127.0713338,37.5336507,127.0713338
뚝섬로37길,37.5343731,127.0716568,37.5346441,127.0717826,37.5346441,127.0717826
뚝섬로,37.5343731,127.0716568,37.5347961,127.0701853,37.5347961,127.0701853
뚝섬로,37.5343731,127.0716568,37.5341046,127.0725776,37.5341046,127.0725776
뚝섬로33길,37.53504,127.06933,37.5364687,127.0700048,37.5364687,127.0700048
뚝섬로,37.53504,127.06933,37.5347961,127.0701853,37.5347961,127.0701853
뚝섬로,37.53504,127.06933,37.5352244,127.0686884,37.5352596,127.068566
뚝섬로31길,37.53556,127.06749,37.5357226,127.0675707,37.5357226,127.0675707
뚝섬로,37.53556,127.06749,37.5358208,127.0664736,37.5358208,127.0664736
뚝섬로,37.53556,127.06749,37.5354236,127.0679852,37.5354236,127.0679852
뚝섬로32길,37.53556,127.06749,37.5354735,127.0674476,37.5346978,127.067068
뚝섬로30길,37.53605,127.06558,37.5355412,127.0661399,37.5355412,127.0661399
뚝섬로,37.53605,127.06558,37.5360892,127.0654219,37.5360892,127.0654219
뚝섬로,37.53605,127.06558,37.5359728,127.0658809,37.5359728,127.0658809
뚝섬로25길,37.53605,127.06558,37.536835,127.0648049,37.5370335,127.0646089
뚝섬로,37.53696,127.06206,37.5367674,127.0628065,37.5367674,127.0628065
뚝섬로21길,37.53696,127.06206,37.5370539,127.0621037,37.5373181,127.0622268
뚝섬로22길,37.53696,127.06206,37.5369103,127.0620278,37.536332,127.0616537
뚝섬로,37.53696,127.06206,37.5371323,127.0614305,37.5371638,127.061303
군자로,37.550617,127.0711233,37.5509124,127.0711826,37.5509124,127.0711826
군자로11길,37.550617,127.0711233,37.5508234,127.0705083,37.5508234,127.0705083
군자로,37.550617,127.0711233,37.5500542,127.0710221,37.5497177,127.0709429
면목로,37.5559398,127.0758152,37.5558341,127.0757613,37.5558341,127.0757613
면목로,37.5559398,127.0758152,37.5561186,127.0759022,37.5561186,127.0759022
면목로,37.5559398,127.0758152,37.5561264,127.0752567,37.5562686,127.0750892
면목로,37.5566563,127.076169,37.5562153,127.0759494,37.5562153,127.0759494
면목로,37.5566563,127.076169,37.5570235,127.0763728,37.5570235,127.0763728
천호대로104길,37.5566563,127.076169,37.5567216,127.0760696,37.5569684,127.075716
면목로6길,37.5566563,127.076169,37.5566037,127.0762004,37.5565526,127.0762439
면목로,37.56062,127.07836,37.5602605,127.0781637,37.5602605,127.0781637
면목로,37.56062,127.07836,37.5607168,127.0784142,37.5607168,127.0784142
능동로41길,37.56062,127.07836,37.5605579,127.0784589,37.5603466,127.0790356
면목로,37.56187,127.07906,37.5611204,127.0786402,37.5611204,127.0786402
면목로,37.56187,127.07906,37.5626805,127.0794987,37.5626805,127.0794987
