,도로명,시작위도,시작경도,중간위도,중간경도,끝위도,끝경도,총점수
3381,용마산로8다길(6),37.561135,127.0899605,37.5613637,127.0893282,37.5613637,127.0893282,0.5329052228888873
3382,아차산로76길(2),37.5482083,127.1072098,37.5475164,127.107761,37.547361,127.1077892,0.5328470306365556
3383,자양로(110),37.537391,127.0835258,37.5375502,127.0834385,37.5375502,127.0834385,0.53278479829697
3384,자양번영로3길(3),37.5317376,127.0744774,37.5316065,127.0752045,37.5316065,127.0752045,0.532779717813875
3385,긴고랑로12길(3),37.5601452,127.0795855,37.5614397,127.0802968,37.5614397,127.0802968,0.5327369935703762
3386,뚝섬로56가길(4),37.5283532,127.0841329,37.5285291,127.085148,37.5285291,127.085148,0.5326114884953639
3387,면목로(55),37.5562153,127.0759494,37.5561938,127.0760017,37.5559999,127.0766534,0.5325214565194814
3388,뚝섬로22가길(17),37.5353488,127.0628079,37.5353945,127.062661,37.5353945,127.062661,0.5324032025888383
3389,용마산로16길(4),37.5624227,127.0878377,37.5621276,127.0878949,37.5621276,127.0878949,0.5324005349333539
3390,광나루로20길(10),37.5461429,127.0743925,37.5464244,127.0745433,37.5464244,127.0745433,0.5323578106898551
3391,뚝섬로38길(3),37.533507,127.0729383,37.5329452,127.0734018,37.5329452,127.0734018,0.5322750298583417
3392,뚝섬로49길(0),37.5323765,127.0784288,37.5325853,127.0785211,37.5325853,127.0785211,0.5322323056148428
3393,용마산로8다길(7),37.561135,127.0899605,37.5614064,127.0901537,37.5613637,127.0893282,0.5322323056148428
3394,용마산로8다길(4),37.5613637,127.0893282,37.5612547,127.0900697,37.561135,127.0899605,0.5322323056148428
3395,뚝섬로58가길(6),37.5305798,127.0839974,37.5308997,127.0846666,37.5308997,127.0846666,0.5322323056148428
3396,능동로15길(3),37.5451228,127.0722033,37.5450084,127.072637,37.5450084,127.072637,0.5322082655019075
3397,아차산로40길(0),37.5341975,127.0773638,37.5346086,127.0775237,37.5346086,127.0775237,0.5322019129988083
3398,광나루로15길(0),37.5480929,127.0695308,37.548186,127.0695386,37.548186,127.0695386,0.5320827604268953
3399,용마산로8다길(11),37.5617582,127.0889458,37.5614949,127.0890006,37.5613637,127.0893282,0.5320640762963318
3400,용마산로8다길(5),37.5613637,127.0893282,37.5614949,127.0890006,37.5617582,127.0889458,0.5320640762963318
3401,영화사로(15),37.5545836,127.0947324,37.554453,127.094256,37.554453,127.094256,0.5320032910642625
3402,아차산로32길(5),37.5387878,127.0686381,37.5389698,127.0680802,37.5389698,127.0680802,0.5319626113342548
3403,아차산로33길(5),37.5438222,127.070907,37.5434262,127.0713119,37.5434262,127.0713119,0.5318958469778207
3404,광나루로20길(7),37.5464244,127.0745433,37.5461429,127.0743925,37.5461429,127.0743925,0.5318531227343217
3405,능동로(43),37.5596715,127.0808784,37.560986,127.081601,37.560986,127.081601,0.5318304035811197
3406,자양번영로3길(0),37.5316065,127.0752045,37.5317376,127.0744774,37.5317376,127.0744774,0.5317703419028085
3407,아차산로33길(2),37.5431696,127.0711998,37.5434262,127.0713119,37.5434262,127.0713119,0.5317276176593095
3408,천호대로104나길(6),37.5571335,127.0750396,37.5573317,127.075445,37.5573317,127.075445,0.5317276176593095
3409,뚝섬로31가길(0),37.5357226,127.0675707,37.5358449,127.0675124,37.5358449,127.0675124,0.5315621796117586
3410,천호대로104나길(1),37.5573317,127.075445,37.5571335,127.0750396,37.5571335,127.0750396,0.5315593883407985
3411,광나루로15길(2),37.5485916,127.0694888,37.5483888,127.0694983,37.548186,127.0695386,0.5314098431528509
3412,광나루로15길(13),37.548186,127.0695386,37.5483888,127.0694983,37.5485916,127.0694888,0.5314098431528509
