도로명,시작위도,시작경도,중간위도,중간경도,끝위도,끝경도,거리
동일로64길(0),37.5607458,127.0753693,37.560934,127.0748252,37.560971,127.0747064,1154
동일로64길(1),37.5600798,127.0772726,37.5605089,127.0760462,37.5607458,127.0753693,1211
면목로9길(0),37.5611796,127.0756339,37.5605146,127.0775168,37.5605146,127.0775168,1225
면목로9길(1),37.5605146,127.0775168,37.5611796,127.0756339,37.5611796,127.0756339,1201
면목로9길(2),37.5605146,127.0775168,37.5603983,127.077818,37.5603334,127.0779518,1256
면목로9길(3),37.5602605,127.0781637,37.5603076,127.0780048,37.5603334,127.0779518,1274
면목로9길(4),37.5607844,127.0782257,37.5603334,127.0779518,37.5603334,127.0779518,1266
면목로9길(5),37.5603334,127.0779518,37.5607844,127.0782257,37.5607844,127.0782257,1258
면목로9길(6),37.5603334,127.0779518,37.5603076,127.0780048,37.5602605,127.0781637,1274
면목로9길(7),37.5603334,127.0779518,37.5603983,127.077818,37.5605146,127.0775168,1256
천호대로105길(0),37.5598342,127.0763496,37.5593448,127.0760835,37.5593448,127.0760835,1239
천호대로105길(1),37.5593448,127.0760835,37.5588291,127.0758001,37.5588291,127.0758001,1241
천호대로105길(2),37.5593448,127.0760835,37.5598342,127.0763496,37.5598342,127.0763496,1236
천호대로105길(3),37.5588291,127.0758001,37.5593448,127.0760835,37.5593448,127.0760835,1239
용마산로1길(0),37.555431,127.0861418,37.555296,127.0864823,37.555296,127.0864823,1571
용마산로1길(1),37.555146,127.0868606,37.5549065,127.0874475,37.5549065,127.0874475,1569
용마산로1길(2),37.5549065,127.0874475,37.554581,127.0883308,37.5545276,127.0884808,1570
용마산로1길(3),37.5564431,127.0835668,37.556056,127.0845476,37.5559328,127.0848597,1535
용마산로1길(4),37.5559328,127.0848597,37.5557233,127.085395,37.555431,127.0861418,1572
용마산로1길(5),37.5569627,127.0822381,37.5567261,127.0828434,37.5564431,127.0835668,1482
용마산로1길(6),37.555296,127.0864823,37.555146,127.0868606,37.555146,127.0868606,1576
천호대로123길(0),37.5593478,127.0862655,37.5588947,127.0863408,37.5575713,127.0865609,1460
천호대로123길(1),37.5575713,127.0865609,37.5568182,127.0866921,37.5568182,127.0866921,1508
천호대로123길(2),37.5575713,127.0865609,37.5588947,127.0863408,37.5593478,127.0862655,1460
천호대로123길(3),37.555146,127.0868606,37.5553438,127.0869523,37.5561485,127.0868109,1561
