유치원명,주소,위도,경도
상일데이케어센터,"서울특별시 광진구 자양로 42, 지하1층,2,5층 (자양동)",37.5319752,127.0861087
도우누리복지용구,"서울특별시 광진구 능동로48길 18, 1층 (중곡동, 도우누리복지용구)",37.5625005,127.0834729
상일 데이케어센터,"서울특별시 광진구 자양로 42, 지하1,2,5층 (자양동)",37.5319752,127.0861087
아이맘인지행동발달센터,서울특별시 광진구 동일로 357 (중곡동),37.5630014,127.075474
신양하늘꿈지역아동센터,서울특별시 광진구 동일로 44-10 (자양동),37.5364656,127.0614378
한마음방문요양센터,"서울특별시 광진구 자양로43길 149, 1층 101호 (중곡동)",37.5571098,127.0887371
굿데이케어센터,"서울특별시 광진구 용마산로 106, 지하1층, 2층 (중곡동)",37.5631245,127.0872747
가왕(家王)재가복지센터,"서울특별시 광진구 뚝섬로49길 31, 1층 (자양동)",37.5336677,127.0793737
꿈나래지역아동센터,"서울특별시 광진구 영화사로 9, 3층 (중곡동)",37.5583049,127.0887634
희망샘지역아동센터,서울특별시 광진구 긴고랑로 137 (중곡동),37.5590544,127.0903046
행복동행복지센터,"서울특별시 광진구 자양로28길 90, 102호 (구의동)",37.541489,127.0892355
A+광진데이케어센터,"서울특별시 광진구 광나루로 562 (구의동, 경우빌딩 1관 3,4,5층)",37.5440673,127.0918889
광진재활데이케어센터,"서울특별시 광진구 용마산로 10, 2층 (중곡동)",37.5545401,127.0888569
정함효센터,"서울특별시 광진구 아차산로21길 15, 1층 (화양동)",37.5427332,127.0650567
별빛재가복지센터,"서울특별시 광진구 능동로48길 35, 1층 (중곡동)",37.5623108,127.0845948
진성지역아동센터,서울특별시 광진구 용마산로26길 10 (중곡동),37.5672241,127.0869171
서울형 키즈카페 시립 뚝섬 자벌레점,"서울특별시 광진구 강변북로 2202, 2층 (자양동)",37.5308776,127.0659833
행복재가방문요양센터,"서울특별시 광진구 아차산로 464, 303호 (구의동)",37.5396409,127.0936652
도담재가요양센터,"서울특별시 광진구 아차산로36길 5, 506호 (자양동)",37.5383137,127.0746454
굿케어주야간보호센터,"서울특별시 광진구 뚝섬로 742 (구의동, 광성빌딩 2층)",37.53423,127.0914495
해바라기재가복지센터,"서울특별시 광진구 용마산로5길 16, 1층 (중곡동)",37.5350575,127.0654482
광진홈케어노인복지센터,"서울특별시 광진구 뚝섬로30가길 15, 1층 (자양동)",37.5350575,127.0654482
광진섬김주간보호센터,"서울특별시 광진구 구의강변로 35, 2층 (구의동, 삼진빌딩)",37.5339345,127.0913912
돌봄재가복지센터,"서울특별시 광진구 긴고랑로13길 92, 1층 (중곡동)",37.5663998,127.0838955
늘푸른건강 재가복지센터,"서울특별시 광진구 아차산로55길 43, 101호 (구의동)",37.5392343,127.0863424
더좋은 재가복지센터,"서울특별시 광진구 아차산로65길 25, 1층 (구의동)",37.5412627,127.0935156
서울데이케어센터,"서울특별시 광진구 능동로37길 11, 4,5,6층 (중곡동, 세기빌딩)",37.558013,127.0790426
간호돌봄재가복지센터,"서울특별시 광진구 면목로 202, 104호 (중곡동)",37.5709763,127.0835239
간호돌봄재가복지센터,"서울특별시 광진구 면목로 202, 104호 (중곡동)",37.5709763,127.0835239
정립회관 주간보호시설,서울특별시 광진구 워커힐로 93 (구의동),37.5510878,127.0976313
광진장애인보호작업장,서울특별시 광진구 동일로80길 20 (중곡동),37.5700923,37.5700923
정립장애인보호작업장,서울특별시 광진구 워커힐로 93 (구의동),37.5510878,127.0976313
정립회관,서울특별시 광진구 워커힐로 93 (구의동),37.5510878,127.0976313
희망의학교,서울특별시 광진구 천호대로 622 (능동),37.5540876,127.0864325
하나인장애인주간보호센터,서울특별시 광진구 능동로59길 14 (중곡동),37.5689842,127.0849323
희망일터,"서울특별시 광진구 천호대로 622, 5층 (능동)",37.5540876,127.0864325
광진구 수어통역센터,"서울특별시 광진구 아차산로 417, 3층 (구의동)",37.5381231,127.0888864
군자작은예수의집,서울특별시 광진구 자양로35길 7-7 (구의동),37.5467276,127.0866258
희망하우스,"서울특별시 광진구 능동로34길 102-5, 2층 (능동)",37.5534142,127.0845649
sim발달지원센터,서울특별시 광진구 구의동,37.5476372,127.0899404
동그라미 움직임 발달센터,"서울특별시 광진구 자양로 135, 201호 (자양동)",37.5398642,127.0829449
신아중곡공동생활가정,"서울특별시 광진구 긴고랑로2길 3, B동 3층 302호 (중곡동, 휴먼에코빌1차)",37.5636996,127.0771717
광진구3호점 우리동네키움센터,서울특별시 광진구 자양로 71-7지하1층 ~ 지상2층 (자양동),37.5340924,127.0839187
아이맘인지행동발달센터,서울특별시 광진구 동일로 357아이맘인지행동발달센터 (중곡동)(중곡동),37.5630014,127.075474
광진노인보호센터,서울특별시 광진구 뚝섬로58길 13 (자양동),37.5313164,127.0846213
늘푸른돌봄센터,서울특별시 광진구 용마산로8길 65 (중곡동),37.5594823,127.0914706
서울시 광진구 재가노인복지기관,"서울특별시 광진구 긴고랑로 136, 1층 (중곡동)",37.5588613,127.0899256
성동실버케어요양원,"서울특별시 광진구 뚝섬로 613, 4층 (자양동)",37.532704,127.0779507
더행복데이케어센터,"서울특별시 광진구 뚝섬로56길 40, 3,4층 (자양동)",37.5295845,127.0824141
THE CLASSIC 500,서울특별시 광진구 능동로 90 (자양동),37.5386303,127.0709719
백세만세데이케어센터,"서울특별시 광진구 광나루로 556, 4층 (구의동, 씨엔씨빌딩)",37.5443006,127.0912032
평강마을 데이케어센터,"서울특별시 광진구 자양번영로4길 13, 3층 (자양동)",37.5316133,127.0761016
광진시니어클럽,서울특별시 광진구 자양번영로7길 16-9 (자양동),37.5362552,127.0754494
강변케어센터,"서울특별시 광진구 구의강변로 35, 6층 (구의동)",37.5339345,127.0913912
강변케어센터2,"서울특별시 광진구 구의강변로 35, 6층 (구의동)",37.5339345,127.0913912
노블레스요양원2,"서울특별시 광진구 용마산로 105, 2층 (중곡동, 광진빌딩)",37.5630495,127.0867644
워커힐케어센터1,"서울특별시 광진구 아차산로 634, 6, 7층 (광장동, 대오빌딩)",37.5489996,127.1083146
워커힐케어센터2,"서울특별시 광진구 아차산로 634, 5층 (광장동, 대오빌딩)",37.5489996,127.1083146
노블레스요양원1,"서울특별시 광진구 용마산로 105, 3층 (중곡동, 광진빌딩)",37.5630495,127.0867644
군자 연세데이케어센터,"서울특별시 광진구 군자로 108, 4층 (군자동, 군자빌딩)",37.5526269,127.0720831
행복 방문요양 복지센터,"서울특별시 광진구 자양로 294, 2층 (구의동)",37.5517662,127.0923552
더사랑데이케어센터,"서울특별시 광진구 자양로 138, 1층 (구의동)",37.5399718,127.0835295
더조은 방문요양센터,"서울특별시 광진구 광나루로56길 63, 216호 (구의동, 현대프라임아파트 프라임프라자)",37.5367895,127.096155
온누리 방문요양센터,"서울특별시 광진구 면목로 63-2, 1층 (중곡동, 정호빌딩)",37.55976,127.0777427
광진늘푸른요양원,"서울특별시 광진구 뚝섬로 613-1, 6층 (자양동)",37.5326306,127.0780851
