,회사명,채용공고사항,링크,지역,경력,학력,월급
80,(주)핀커스코리아,[국내우량기업] 기술영업 경력 채용(4년이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50053936&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 성남시 분당구,경력 4~11년,초대졸↑,정규직
81,(주)메타써치,[ RF모듈개발 제어기술 ],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50031079&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울 강남구,경력15년↑,초대졸↑,정규직
82,(주)피라인모터스,(주)피라인모터스 웹개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49723088&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울 금천구,경력3년↑,대졸↑,정규직
83,(주)케이엘티시스템즈,IPS(ILS) 개발  경력사원 모집(서울지사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49798736&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,서울 구로구,경력 3~10년,초대졸↑,정규직
84,(주)블루텍,소프트웨어/네트워크 통신 개발자 -  경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49753660&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,경력 5~15년,대졸↑,정규직
85,(주)테라시스,[2025년 상반기] 하드웨어(HW) 개발자 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49752595&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 의왕시,경력 5~14년,초대졸↑,정규직
86,(주)테라시스,[2025년 상반기] 프로젝트 관리(PMO)담당자 경력직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49754633&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 의왕시,경력 5~10년,초대졸↑,정규직
87,올제텍㈜,시스템 SW 경력직 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49957982&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,경력3년↑,초대졸↑,정규직
88,올제텍㈜,FPGA 엔지니어(경력) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50030372&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,경력3년↑,대졸↑,정규직
89,(주)에델테크,HW 주니어 엔지니어 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49757149&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 하남시,신입,대졸↑,정규직
90,(주)시드코어,HW 개발자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49923510&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,경력 3~7년,초대졸↑,정규직
91,(주)시드코어,FPGA 개발자 채용(FW 연구원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49923557&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,경력 3~10년,초대졸↑,정규직
92,(주)시드코어,"SW 개발자 채용( DRV, API, APP (Linux) / APP (Windows) )",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49923475&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 유성구,경력 3~7년,초대졸↑,정규직
93,(주)에델테크,임베디드시스템 통합 및 지원,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50013923&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 하남시,경력 5~15년,대졸↑,정규직
94,(주)글로벌코넷,위성 평판 안테나 설계 엔지니어 경력직 채용(100프로 성과급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49839288&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 안양시 동안구,경력,대졸↑,정규직
95,(주)제이앤씨에이치알,기술영업 경력 5년이상 채용/자동차테스트장비제조업,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50029638&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경기 성남시 분당구,경력5년↑,초대졸↑,정규직
96,대한시스텍주식회사,대한시스텍(주) 가공기술파트 경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49894636&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경남 창원시 성산구,경력10년↑,학력무관,정규직
97,브이엔에스,랩뷰 프로그램 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49934972&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,경북 구미시,경력5년↑,초대졸,정규직
98,유한책임회사 아소테크,"APP, 펌웨어 및 FPGA 개발 구인[신입 및 경력]",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49918277&location=ts&searchword=%EB%B0%A9%EC%82%B0&searchType=search&paid_fl=n&search_uuid=14ac727e-6b38-4619-9218-281fcc4897e6,대전 대덕구,경력무관,학력무관,정규직
