,회사명,채용공고사항,링크,지역,경력,학력,월급
921,(주)파더스랩,SW 개발 PM (중국어 우대),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50004689&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강남구,경력 5~15년,대졸↑,정규직
922,신비앤텍(주),전기차 충전기 웹/앱 개발 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50016985&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,충남전체,경력 1~2년,학력무관,정규직
923,(주)이에스티소프트,[면접비지급][(주)이에스티소프트] IT 분야별 신입/경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50017404&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 영등포구,경력무관,고졸↑,정규직·기간제
924,에이존테크(주),[신입/경력] 2025년 상반기 시스템 엔지니어 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50032965&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,대구 북구,경력무관,초대졸↑,정규직
925,(주)블록체인글로벌,Front-End 엔지니어(9년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50045222&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울전체,경력 9~11년,초대졸↑,정규직
926,(주)블록체인글로벌,Front-End 엔지니어 (6년~8년),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50045205&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울전체,경력 6~8년,초대졸↑,정규직
927,(주)블록체인글로벌,Front-End 엔지니어 채용(미들급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50045210&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울전체,경력 3~5년,초대졸↑,정규직
928,다겸(주),기술지원 필드 엔지니어를 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50052339&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 금천구,경력,대졸↑,정규직
929,(주)파더스랩,QA 엔지니어 (3년 이상),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50066560&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 강남구,경력 3~10년,대졸↑,정규직
930,(주)삼건이엔씨,"미래의 산업, 냉동 공조 엔지니어 신입/경력 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49661166&location=ts&searchword=ai%EC%97%94%EC%A7%80%EB%8B%88%EC%96%B4&searchType=search&paid_fl=n&search_uuid=5167dd55-7683-4ae4-9555-8cb3ceb5a3e0,서울 서초구,경력무관,초대졸↑,정규직
